zipcode,white,black,asian,latinx,full_pop,white_proportion,black_proportion,modal_race
10037,801,12676,289,3164,17416,0.0459921910886541,0.727836472209463,black
10307,12379,79,346,1131,14096,0.878192395005675,0.0056044267877412,white
11102,14596,2903,5178,10346,34133,0.427621363489878,0.0850496586880731,white
11219,58646,742,20896,10870,92221,0.635928909901216,0.00804588976480411,white
10065,26336,516,2860,1919,32270,0.816114037806012,0.0159900836690425,white
10017,11685,491,2909,1078,16575,0.704977375565611,0.0296229260935143,white
11210,19294,34281,2154,4929,62008,0.311153399561347,0.552848019610373,black
10040,8131,1968,1037,30154,41905,0.194034124806109,0.0469633695263095,latinx
10467,9855,32296,6098,46661,97060,0.10153513290748,0.332742633422625,latinx
11355,7767,2430,60670,12983,85871,0.0904496279302675,0.0282982613455066,asian
10451,921,16227,653,27148,45713,0.0201474416467963,0.354975608688994,latinx
11356,7756,398,6342,8442,23438,0.330915607133714,0.0169809710726171,latinx
11208,1973,39761,7772,40645,94469,0.0208851580941896,0.420889392287417,latinx
11426,6582,904,6257,2843,17590,0.374189880613985,0.0513928368391131,white
10463,24161,8116,2873,31566,67970,0.355465646608798,0.119405620126526,latinx
10302,6385,3514,773,7892,19088,0.334503352891869,0.184094719195306,latinx
11433,323,23572,1626,5290,32687,0.00988160430752287,0.721142962033836,black
11236,5066,77175,2319,7358,93877,0.0539642297900444,0.822086347028559,black
10005,4663,229,1472,530,7135,0.65353889278206,0.0320953048353189,white
11429,646,19508,823,3164,25105,0.0257319259111731,0.777056363274248,black
11436,185,13033,1139,2155,17949,0.0103069808903003,0.726112875369101,black
10069,3491,170,1046,347,5199,0.671475283708405,0.0326985958838238,white
11375,39548,1779,17296,8326,68733,0.575385913607729,0.0258827637379425,white
10280,5016,215,1750,617,7853,0.638736788488476,0.0273780720743665,white
10004,2034,86,653,189,3089,0.65846552282292,0.0278407251537714,white
11234,38632,35557,4072,7570,87757,0.440215595337124,0.405175655503265,white
11435,7646,13810,10474,17518,53687,0.142418090040419,0.257231732076667,latinx
11203,2008,67236,938,4258,76174,0.0263607005014834,0.88266337595505,black
10460,1434,15684,751,38520,57311,0.0250213746052241,0.273664741498142,latinx
11230,58372,6669,11137,8597,86408,0.675539301916489,0.0771803536709564,white
11204,48281,428,20485,7997,78134,0.617925614969156,0.00547776896101569,white
11369,2779,6640,3356,24973,38615,0.0719668522594847,0.171953903923346,latinx
11417,7482,2177,5838,10296,28967,0.258293920668347,0.0751544861394,latinx
11360,12426,255,4443,1513,18884,0.65801736920144,0.0135034950222411,white
11692,1916,11467,511,4081,18540,0.103344120819849,0.618500539374326,black
10006,1947,135,590,248,3011,0.646629026901362,0.0448356027897708,white
11357,26883,297,7112,4333,39150,0.686666666666667,0.00758620689655172,white
10282,3463,105,644,388,4783,0.72402257997073,0.0219527493205101,white
11691,13455,28279,1156,15134,60035,0.224119263762805,0.471041892229533,black
11354,10889,1817,32126,8902,54878,0.198421954152848,0.0331098072087175,asian
11427,4605,5374,7567,3996,23593,0.195185012503709,0.227779426100962,asian
10469,8730,36743,2681,16852,66631,0.131020095751227,0.55144002041092,black
10304,15902,11193,3980,10206,42193,0.37688716137748,0.265280970777143,white
11432,8783,11242,21464,15125,60809,0.144435856534395,0.184873949579832,asian
11412,188,31243,363,2056,34882,0.0053895992202282,0.895676853391434,black
11373,7292,1257,47216,42775,100820,0.0723269192620512,0.0124677643324737,asian
11212,666,67801,588,13905,84500,0.00788165680473373,0.802378698224852,black
11421,7273,1944,6064,21966,39127,0.185881871853196,0.0496843611828149,latinx
11364,14155,733,16202,2888,34555,0.409636810881204,0.0212125596874548,asian
11229,53799,3937,14532,6451,80018,0.672336224349521,0.0492014296783224,white
10457,1138,21185,1059,45940,70496,0.0161427598729006,0.300513504312301,latinx
10475,3885,24005,492,11670,40931,0.0949158339644768,0.586474799052063,black
10461,21602,3150,5253,19384,50502,0.427745435824324,0.0623737673755495,white
11416,3577,2265,5658,10937,24861,0.143879972647922,0.0911065524315192,latinx
11420,3167,13611,8810,9865,44354,0.0714028047075799,0.306871984488434,black
11368,5777,10411,10834,81093,109931,0.0525511457186781,0.0947048603214744,latinx
11379,25628,276,2803,5728,34821,0.735992648114643,0.00792625140001723,white
11367,20968,3659,8527,6480,41047,0.510829049626038,0.0891417155943187,white
11415,9679,1214,3213,4490,19341,0.500439480895507,0.0627682126053462,white
11223,47821,2834,16561,10282,78731,0.607397340310678,0.0359959863332106,white
10456,1133,34735,782,48641,86547,0.0130911527840364,0.401342623083411,latinx
11419,2225,8021,15511,9600,47211,0.0471288470907204,0.169896846074008,asian
11423,2820,12195,5863,5011,29987,0.0940407509920966,0.406676226364758,black
10007,4715,413,870,711,6988,0.674728105323412,0.0591013165426445,white
10459,538,12747,343,33075,47308,0.011372283757504,0.26944702798681,latinx
11413,521,34574,335,2470,38912,0.0133891858552632,0.888517680921053,black
10474,160,3227,67,8684,12281,0.0130282550280922,0.262763618597834,latinx
11370,9208,6540,6519,16451,39688,0.232009675468656,0.164785325539206,latinx
11378,21038,314,3570,9617,34981,0.601412195191675,0.00897630142077128,white
11365,14064,3421,17532,6094,42252,0.332859982959387,0.0809665814635994,asian
10303,4992,8839,2026,9780,26337,0.189543228158105,0.335611497133311,latinx
11418,6755,3247,7477,15471,36256,0.18631398940865,0.0895575904677846,latinx
11109,2137,146,763,320,3523,0.606585296622197,0.0414419528810673,white
11422,1475,24740,628,2657,30425,0.0484798685291701,0.813147082990961,black
11414,20069,413,923,4399,26148,0.767515679975524,0.0157947070521646,white
11411,247,16766,126,991,18556,0.0133110584177624,0.903535244664798,black
11228,26390,201,10182,4472,41788,0.631521010816502,0.00480999329951182,white
11224,24791,10604,2821,8676,47621,0.520589655824111,0.222674870330316,white
10471,14465,2004,1330,4618,22922,0.631053136724544,0.0874269260971992,white
10468,3708,14507,3357,53260,76103,0.0487234406002391,0.190623234300882,latinx
10465,21559,3123,1246,15616,42230,0.510513852711343,0.0739521667061331,white
11214,46107,779,28562,11823,88630,0.520218887509873,0.00878934897890105,white
10453,1020,23685,917,51621,78309,0.013025322759836,0.302455656437957,latinx
11358,15546,341,14975,6028,37546,0.414052096095456,0.00908219251052043,white
10162,1442,17,96,91,1685,0.855786350148368,0.0100890207715134,white
10470,6493,5097,544,2561,15293,0.424573334205192,0.333289740404106,white
10473,1203,21162,890,34042,58519,0.0205574257933321,0.361626138519113,latinx
11362,9243,253,6640,1420,17823,0.518599562363239,0.0141951411098019,white
10312,50214,495,3192,4787,59304,0.846721974908944,0.00834682314852287,white
10462,11415,18417,8101,35366,75784,0.150625461838911,0.243019634751399,latinx
10310,10444,5110,1362,7474,24962,0.41839596186203,0.204711160964666,white
11428,2071,4393,5055,4833,19168,0.108044657762938,0.229184056761269,asian
10314,58090,3201,11412,11109,85510,0.679335750204654,0.0374342182200912,white
10464,3400,141,140,774,4534,0.749889722099691,0.0310983678870754,white
10308,23952,105,783,2226,27357,0.875534598091896,0.00383814014694594,white
10458,8350,15770,3065,50680,79492,0.105042016806723,0.198384743118804,latinx
11001,17678,1537,3897,3029,26883,0.657590298701782,0.0571736785329018,white
